0.500     1.931665
0.550     0.421230
0.600    -0.729494
0.650    -1.617513
0.700    -2.309762
0.750    -2.853397
0.800    -3.282317
0.850    -3.621470
0.900    -3.889590
0.950    -4.101040
1.000    -4.266899
1.050    -4.395998
1.100    -4.495251
1.150    -4.570314
1.200    -4.625620
1.250    -4.664797
1.300    -4.690848
1.350    -4.706381
1.400    -4.713203
1.450    -4.713026
1.500    -4.707232
1.550    -4.697228
1.600    -4.683817
1.650    -4.667692
1.700    -4.649846
1.750    -4.630475
1.800    -4.610197
1.850    -4.589727
1.900    -4.568785
1.950    -4.548634
2.000    -4.528485
