0.500     1.931688
0.550     0.421253
0.600    -0.729490
0.650    -1.617553
0.700    -2.309893
0.750    -2.853673
0.800    -3.282825
0.850    -3.622302
0.900    -3.890851
0.950    -4.102822
1.000    -4.269379
1.050    -4.399313
1.100    -4.499623
1.150    -4.575922
1.200    -4.632751
1.250    -4.673812
1.300    -4.702152
1.350    -4.720303
1.400    -4.730397
1.450    -4.734255
1.500    -4.733459
1.550    -4.729405
1.600    -4.723345
1.650    -4.716394
1.700    -4.709521
1.750    -4.703493
1.800    -4.698815
1.850    -4.695688
1.900    -4.694038
1.950    -4.693605
2.000    -4.694062
