0.500     1.943803
0.550     0.436630
0.600    -0.710189
0.650    -1.593724
0.700    -2.281063
0.750    -2.819547
0.800    -3.243279
0.850    -3.577353
0.900    -3.840601
0.950    -4.047417
1.000    -4.208964
1.050    -4.334010
1.100    -4.429503
1.150    -4.500998
1.200    -4.552962
1.250    -4.589012
1.300    -4.612098
1.350    -4.624640
1.400    -4.628642
1.450    -4.625773
1.500    -4.617433
1.550    -4.604806
1.600    -4.588894
1.650    -4.570554
1.700    -4.550517
1.750    -4.529410
1.800    -4.507769
1.850    -4.486054
1.900    -4.464658
1.950    -4.443916
2.000    -4.424113
