0.500    -3.415884928706292
0.550    -4.068594846235504
0.600    -4.528256325110761
0.650    -4.851292399688539
0.700    -5.075856257768431
0.750    -5.228381213646285
0.800    -5.327599460563097
0.850    -5.387069913737599
0.900    -5.416797381264104
0.950    -5.424289296815851
1.000    -5.415261624223874
1.050    -5.394123630918187
1.100    -5.364320073207193
1.150    -5.328578846908042
1.200    -5.289094784206958
1.250    -5.247671622388538
1.300    -5.205842297951873
1.350    -5.164995433658089
1.400    -5.126570055902184
1.450    -5.092522038871357
1.500    -5.067035591381944
1.550    -5.067587067382397
